,Training_set,Feature_set,ML_method,Precision,Recall,F1
0,train_1,All,SVM,0.7780698065601346,0.7792166771951989,0.778642819568648
1,train_1,All,Random Forest,0.8793933804693104,0.9035586439250368,0.891312250090876
2,train_1,All,KNN,0.8305436915618146,0.7575279006106549,0.7923572490501624
3,train_1,All,CNN,0.543005833238019,0.9996841440303221,0.7037503705899792
4,train_2,All,SVM,0.7649373227193704,0.8715596330275229,0.8147751084255153
5,train_2,All,Random Forest,0.8114838830936942,0.9002293577981652,0.85355607176395
6,train_2,All,KNN,0.7712123941632139,0.8926188490408674,0.8274862278921427
7,train_2,All,CNN,0.5481142857142857,1.0,0.7081057138638712
8,train_3,All,SVM,0.6680072848687206,0.9240054581715126,0.7754239154371284
9,train_3,All,Random Forest,0.8701949254056408,0.8387740107064133,0.8541956173169428
10,train_3,All,KNN,0.7406618756099725,0.8762464574367587,0.8027694970670257
11,train_3,All,CNN,0.5483777854751184,0.997060984570169,0.7075868747439383
