, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min,Label,new_label,p0,p1
15500,3.25000536250885e-07,0.0,0.000287108814241,2.96598020702542e-05,9.14163686493049e-07,0.000256849315068,0.002905569007264,0.001609193860925,0.0,0.000515818431912,0.004132231404959,0.00103439358676,0.0,0.005915364780836,0.41052631579,3.3333333048433e-07,0.0,3.24999997291667e-07,4.35897387464393e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000193873594416,0.000179430129907,0.008771929823333,0.019736842107434,0.00451467268623,0.000256849315068,0.002844500632561,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.025641025641026,0.004108723136138,0.001609193860925,0.00103439358676,0.000193873594416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.96598020702542e-05,0.000287108814241,9.14163686493049e-07,0.00177001953125,0.003890991210938,0.0,0.144927536231884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9664606119711936,0.0335393880288064
15501,0.001914053158188,0.0,0.000287108814241,0.000341087723808,1.29506522253182e-05,0.002953767123288,0.033414043583535,0.018505729400642,0.0,0.00730742778542,0.058539944903581,0.014653909145763,0.0,0.005764010798986,0.400001741515554,0.001963128188349,0.0,0.00191404998405,0.001963230551094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000310197751066,0.000287088207852,1.45126296166667e-06,3.26534166456634e-06,0.051918735891648,0.003638698630137,0.035240202279589,0.002108807131629,4.44444444427083e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025641025641026,0.050902514408815,0.018505729400642,0.014653909145763,0.000310197751066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000341087723808,0.000287108814241,1.29506522253182e-05,0.0,0.0,0.0,0.231884057971014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9732756762289174,0.026724323771082636
15502,0.000431617378835,0.000381533765738,0.000574217628481,0.000484443433814,2.91008773533621e-05,0.002354452054795,0.020823244552058,0.013141749864224,0.001464115324607,0.008511004126547,0.0633608815427,0.016464097922593,0.000604021054423,0.005766368830269,0.400015446102756,0.000147566950277,0.000133753533608,0.000216949998192,3.81880299449198e-05,3.7125e-05,3.7125e-05,0.0,3.7125e-05,3.7125e-05,0.000177541666667,0.000177541666667,0.0,0.000177541666667,0.000177541666667,0.0,0.0,0.0,0.0,0.000504071345483,0.000358860259815,1.28717522966667e-05,2.89614426747404e-05,0.032355154251317,0.00423801369863,0.031479140333673,0.006192377130242,3.83229166666667e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025641025641026,0.037891557811046,0.013141749864224,0.016464097922593,0.000504071345483,0.0,0.0,0.0,0.0,0.0,0.0,0.000381533765738,0.000484443433814,0.000574217628481,2.91008773533621e-05,0.0,0.0,0.000859845227859,0.144927536231884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9705430820420364,0.029456917957963673
15503,0.046306318072092,0.000763067531477,0.000287108814241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005763688760807,0.400000143969098,0.015831199292041,0.03750066004717,0.046035124616374,6.41025569800578e-07,0.046306233333333,0.023153116666667,0.047550756938813,0.046035116666667,0.000271116666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001008142690965,0.000358860259815,1.79961373e-07,1.34971029783743e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001008142690965,0.0,0.0,0.0,0.0,0.0,0.0,0.000763067531477,0.0,0.000287108814241,0.0,0.445571899414063,0.441909790039063,0.0,0.231884057971014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9642286533657761,0.03577134663422376
15504,0.009354190434414,0.002670736360168,0.001435544071203,0.001829021127666,0.000530519659395,0.008090753424658,0.0,0.012404202677967,0.012303281517356,0.152510316368638,0.0,0.120058615636583,0.104127486582801,0.005765336996078,0.400002316258352,0.000799509964677,0.00150116852471,0.0023680333136,5.64102501424508e-07,0.009354166666667,0.00133630952381,0.002330289508593,0.003997433333333,4.41666666666667e-07,0.004784633333333,0.001196158333333,0.002106763221972,0.002391583333333,1.76666666666667e-06,0.0,0.0,0.0,0.0,0.001667312911981,0.001004808727482,2.3756495917e-06,3.34075723913519e-06,0.0,0.075941780821918,0.130440671864592,0.131751686475108,0.017348268086081,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.135271807866685,0.012404202677967,0.120058615636583,0.001667312911981,0.0,0.0,0.0,0.0,0.0,0.0,0.002670736360168,0.001829021127666,0.001435544071203,0.000530519659395,0.125015258789063,0.000839233398438,0.006018916595013,0.144927536231884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.965574912225007,0.03442508777499293
15505,2.20833697708935e-06,0.000381533765738,0.000574217628481,0.000464670232434,3.13862865695947e-05,0.00201198630137,0.022760290556901,0.012605351910583,0.0,0.008854883081155,0.070936639118457,0.017757089906043,0.0,0.006309492620557,0.40303030303,7.6068375418219e-07,1.72593334080189e-06,2.14999998208333e-06,1.36752121557457e-07,2.5e-08,2.5e-08,0.0,2.5e-08,2.5e-08,3.33333333333333e-08,3.33333333333333e-08,0.0,3.33333333333333e-08,3.33333333333333e-08,0.0,0.0,0.0,0.0,0.000387747188833,0.000358860259815,0.002525252525333,0.00568181818342,0.035364936042137,0.004409246575342,0.032901390649953,0.007002065366011,4.9e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025641025641026,0.039603525784437,0.012605351910583,0.017757089906043,0.000387747188833,0.0,0.0,0.0,0.0,0.0,0.0,0.000381533765738,0.000464670232434,0.000574217628481,3.13862865695947e-05,0.0,0.0,0.000859845227859,0.144927536231884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9711481258182634,0.028851874181736712
15507,0.000962726588499,0.000381533765738,0.0,5.93196041405084e-05,0.0,0.000256849315068,0.002905569007264,0.001609193860925,0.0,0.0,0.0,0.0,0.0,0.005763738651643,0.400003462424044,0.000987410247971,0.0,0.000962724991977,0.000987512710789,0.000962716666667,0.000962716666667,0.0,0.000962716666667,0.000962716666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000387747188833,0.0,5.77070674e-06,0.0,0.00451467268623,0.000256849315068,0.002844500632561,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.004108723136138,0.001609193860925,0.0,0.000387747188833,0.0,0.0,0.0,0.0,0.0,0.0,0.000381533765738,5.93196041405084e-05,0.0,0.0,0.003875732421875,0.0,0.000859845227859,0.144927536231884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9824177965325908,0.017582203467409175
15508,0.000252142082701,0.0,0.000287108814241,0.000306484621393,1.18841279244096e-05,0.002654109589041,0.030024213075061,0.016628336562896,0.0,0.006705639614856,0.053719008264463,0.013447116627877,0.0,0.005765911230253,0.400013220518244,0.000258606835397,0.0,0.000252141664565,0.000258709372964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000426521907716,0.000287088207852,1.10170985366667e-05,2.47884717136971e-05,0.046651617757713,0.00333904109589,0.031921618208268,0.002108807131629,4.44444444427083e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025641025641026,0.046109004083321,0.016628336562896,0.013447116627877,0.000426521907716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000306484621393,0.000287108814241,1.18841279244096e-05,0.0,0.0,0.0,0.318840579710145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9639458268554476,0.036054173144552254
15509,7.83334625835466e-07,0.0,0.000287108814241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005763688760807,0.404301075268817,8.03418796551976e-07,0.0,7.83333326805556e-07,9.0598280531815e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000310197751066,0.000287088207852,0.003584229390681,0.008064516131048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.025641025641026,0.0,0.0,0.0,0.000310197751066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000287108814241,0.0,0.005859375,0.500991821289063,0.0,0.231884057971014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9645028587703194,0.035497141229680666
15510,1.96666991167202e-06,0.000381533765738,0.000574217628481,0.000395464027603,5.45450999607519e-05,0.001712328767123,0.019370460048426,0.010727959072836,0.0,0.015388583218707,0.123278236914601,0.030859408671666,0.0,0.006658899993756,0.40340425532,6.78062672238781e-07,1.57954318985849e-06,1.94999998375e-06,1.19658106362775e-07,8.33333333333333e-09,8.33333333333333e-09,0.0,8.33333333333333e-09,8.33333333333333e-09,8.33333333333333e-09,8.33333333333333e-09,0.0,8.33333333333333e-09,8.33333333333333e-09,0.0,0.0,0.0,0.0,0.000387747188833,0.000358860259815,0.002836879432667,0.006382978725096,0.030097817908202,0.007662671232877,0.045322376745468,0.017380126532921,0.000301890625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025641025641026,0.054554712752048,0.010727959072836,0.030859408671666,0.000387747188833,0.0,0.0,0.0,0.0,0.0,0.0,0.000381533765738,0.000395464027603,0.000574217628481,5.45450999607519e-05,0.0,0.0,0.000859845227859,0.144927536231884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9724088176104729,0.027591182389527066
